theatre,lng,lat,type,projector,date,ratio,width,height,size,seats,note
厦门万象影城（万象城杜比影院店）,118.117857031934,24.479728501271,dolby,科视Christie E3LH数字影院放映机,"2019年1月27日
2019年2月22日启幕仪式",,20.410,11.000,224.5100,242,非常感谢银幕尺寸图提供者IMAX贴吧老吧主周董
厦门万达影城(集美万达广场店) ,118.098966295879,24.5791995851498,imax,IMAX 氙灯,2013年6月8日,,22.13,12.300,272.1990,412, -
南平万达影城(万达广场店) ,118.096134208099,27.3727816342552,imax,IMAX 氙灯Gen3,2018年11月30日,,22.14,11.600,256.8240,348,
厦门万达影城(世茂海峡广场店) ,118.095071961833,24.4420980238672,imax,IMAX 氙灯,2016年7月16日,,22.62,11.830,267.5946,348, -
台中老虎城威秀影城,118.087391449726,24.4594338055536,imax,IMAX 氙灯,2011年11月25日,,15.39,8.560,131.7384,307,
厦门幸福蓝海国际影城（世茂广场IMAX店）   ,118.082758978043,24.6090610442347,imax,IMAX 氙灯,2021年5月1日,,18.63,10.030,186.8589,251,银幕型号:HARKNESS IMAX Coating 3.1 Peak Gain
厦门寰映影城(海上世界店),118.082398038889,24.4952889824841,imax,IMAX Commercial Laser,2022年9月30日,,26.51,14.200,376.4420,383,12聲道音響系统
厦门寰映影城(棕榈城店),118.081756019941,24.6049570382158,imax,IMAX Laser XT,2021年10月22日,,20.39,10.390,211.8521,230,
厦门嘉庚华谊兄弟电影中心,118.067069982486,24.5990640263865,dolby,科视Christie E3LH数字影院放映机,"2016年12月23日
2016年12月23日启幕仪式",,,,,456,
淄博万达影城(富力万达广场店) ,118.018109024551,36.8447979222048,imax,IMAX 氙灯,2020年7月30日,,19.36,10.150,196.5040,342,
滨州万达影城(万达广场店) ,118.002416345936,37.4099292067878,imax,IMAX 氙灯,2016年12月30日,,  ,  ,,431, -
淄博齐纳国际影城（银座店）,117.968175095829,36.6551065741376,imax,IMAX Commercial Laser,2018年12月23日,,22.04,11.550,254.5620,317,12聲道音響系統
漳州万达影城(万达广场店) ,117.896583993364,24.5083349938839,imax,IMAX 氙灯,2012年11月28日,,21.71,11.332,246.0177,347, -
漳州万达影城(台商区万达广场店) ,117.896583993364,24.5083349938839,imax,IMAX 氙灯,2017年1月6日,,22.48,11.800,265.2640,381, -
合肥万达影城(巢湖万达广场店) ,117.89062887268,31.6170418177514,imax,IMAX 氙灯,2018年11月2日,,22.17,11.640,258.0588,369,  -
天津CGV星星影城(滨海店) ,117.686794998225,39.0026045779815,imax,IMAX 氙灯,"2011年12月16日
2016年2月1日(重新开业)",,16.45,8.680,142.7860,332, -
三明万达影城(万达广场店),117.666933986425,26.2893220199015,imax,IMAX 氙灯Gen3,2016年12月30日,,22.95,12.150,278.8425,376,
漳州金逸影城(红星店) ,117.631979032602,24.5280119000989,imax,IMAX 氙灯,2018年10月3日,,18.81,9.700,182.4570,249, -
合肥博纳国际影城(瑶海龙湖天街店),117.396694959205,31.8743419897303,imax,IMAX 氙灯,2019年12月12日,,,,,247,
